'로그 원: 스타워즈 스토리' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/28/2016,907,16.7%,"3,983",24.9%,"714,432",27.4%,20.3%,"1,026,654,200",1003656200 ( 4364.1% ),"145,102",143377 ( 8311.7% ),"1,059,348,200","147,433",2
12/29/2016,880,16.6%,"3,920",24.3%,"705,434",26.9%,14.0%,"838,327,000",-188327200 ( -18.3% ),"99,032",-46070 ( -31.8% ),"1,897,675,200","246,465",2
12/30/2016,858,16.0%,"3,914",23.6%,"703,789",26.1%,19.4%,"1,265,446,544",427119544 ( 50.9% ),"136,478",37446 ( 37.8% ),"3,163,121,744","382,943",2
12/31/2016,828,14.0%,"3,588",20.7%,"633,966",22.5%,33.7%,"1,964,415,350",698968806 ( 55.2% ),"213,544",77066 ( 56.5% ),"5,127,537,094","596,487",2
1/1/2017,810,13.8%,"3,335",19.9%,"587,631",21.6%,29.5%,"1,612,424,700",-351990650 ( -17.9% ),"173,451",-40093 ( -18.8% ),"6,739,961,794","769,938",2
1/2/2017,756,14.4%,"3,163",19.9%,"562,513",21.7%,8.9%,"417,157,300",-1195267400 ( -74.1% ),"49,916",-123535 ( -71.2% ),"7,157,119,094","819,854",3
1/3/2017,759,13.9%,"3,002",19.0%,"535,232",20.7%,6.6%,"293,678,300",-123479000 ( -29.6% ),"35,485",-14431 ( -28.9% ),"7,450,797,394","855,339",4
1/4/2017,482,8.1%,"1,278",7.4%,"214,800",7.6%,8.0%,"154,758,800",-138919500 ( -47.3% ),"17,103",-18382 ( -51.8% ),"7,605,556,194","872,442",9
1/5/2017,458,7.4%,"1,149",6.7%,"195,789",7.0%,7.9%,"142,000,900",-12757900 ( -8.2% ),"15,460",-1643 ( -9.6% ),"7,747,557,094","887,902",9
1/6/2017,444,7.0%,"1,056",6.0%,"176,779",6.1%,10.5%,"191,462,300",49461400 ( 34.8% ),"18,632",3172 ( 20.5% ),"7,939,019,394","906,534",8
1/7/2017,433,6.7%,937,5.1%,"158,962",5.3%,24.4%,"407,776,700",216314400 ( 113.0% ),"38,850",20218 ( 108.5% ),"8,346,796,094","945,384",8
1/8/2017,422,6.5%,888,5.0%,"150,112",5.1%,22.5%,"346,352,500",-61424200 ( -15.1% ),"33,704",-5146 ( -13.2% ),"8,693,148,594","979,088",8
1/9/2017,406,6.9%,873,5.1%,"146,711",5.2%,6.7%,"90,907,800",-255444700 ( -73.8% ),"9,818",-23886 ( -70.9% ),"8,784,056,394","988,906",8
1/10/2017,399,6.6%,854,5.0%,"145,854",5.2%,7.3%,"100,255,100",9347300 ( 10.3% ),"10,621",803 ( 8.2% ),"8,884,311,494","999,527",8
1/11/2017,105,1.9%,202,1.2%,"32,019",1.1%,10.3%,"28,137,300",-72117800 ( -71.9% ),"3,305",-7316 ( -68.9% ),"8,912,448,794","1,002,832",13
1/12/2017,44,0.8%,64,0.4%,"8,689",0.3%,16.1%,"10,621,400",-17515900 ( -62.3% ),"1,395",-1910 ( -57.8% ),"8,923,070,194","1,004,227",17
1/13/2017,43,0.7%,61,0.3%,"9,115",0.3%,18.9%,"15,172,400",4551000 ( 42.8% ),"1,721",326 ( 23.4% ),"8,938,242,594","1,005,948",16
1/14/2017,44,0.7%,62,0.3%,"9,536",0.3%,37.9%,"31,456,600",16284200 ( 107.3% ),"3,610",1889 ( 109.8% ),"8,969,699,194","1,009,558",15
