'극장판 포켓몬스터 너로 정했다!' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/21/2017,424,7.5%,561,3.4%,"70,844",2.6%,20.6%,"101,868,900",101727900 ( 72147.4% ),"14,583",14560 ( 63304.3% ),"111,989,900","15,777",5
12/22/2017,407,7.1%,545,3.2%,"68,095",2.5%,13.2%,"69,883,800",-31985100 ( -31.4% ),"9,022",-5561 ( -38.1% ),"181,873,700","24,799",6
12/23/2017,610,9.7%,"1,104",5.9%,"146,514",4.9%,51.9%,"569,684,600",499800800 ( 715.2% ),"76,102",67080 ( 743.5% ),"751,558,300","100,901",4
12/24/2017,626,10.0%,"1,165",6.2%,"154,743",5.2%,57.4%,"679,069,000",109384400 ( 19.2% ),"88,873",12771 ( 16.8% ),"1,430,627,300","189,774",4
12/25/2017,614,9.8%,"1,153",6.3%,"153,335",5.2%,65.8%,"766,630,200",87561200 ( 12.9% ),"100,877",12004 ( 13.5% ),"2,197,257,500","290,651",4
12/26/2017,464,8.3%,749,4.4%,"92,200",3.4%,14.1%,"90,279,100",-676351100 ( -88.2% ),"13,017",-87860 ( -87.1% ),"2,287,536,600","303,668",5
12/27/2017,347,6.4%,433,2.5%,"52,068",1.9%,21.9%,"75,487,000",-14792100 ( -16.4% ),"11,385",-1632 ( -12.5% ),"2,363,023,600","315,053",6
12/28/2017,320,5.8%,394,2.3%,"46,557",1.7%,27.4%,"87,471,200",11984200 ( 15.9% ),"12,749",1364 ( 12.0% ),"2,450,494,800","327,802",5
12/29/2017,334,6.0%,415,2.3%,"49,357",1.7%,34.2%,"129,194,400",41723200 ( 47.7% ),"16,870",4121 ( 32.3% ),"2,579,689,200","344,672",5
12/30/2017,434,7.5%,633,3.4%,"75,768",2.6%,46.8%,"267,578,600",138384200 ( 107.1% ),"35,443",18573 ( 110.1% ),"2,847,267,800","380,115",5
12/31/2017,443,7.7%,635,3.4%,"76,341",2.6%,46.0%,"270,261,900",2683300 ( 1.0% ),"35,140",-303 ( -0.9% ),"3,117,529,700","415,255",5
1/1/2018,417,7.4%,605,3.4%,"72,267",2.5%,47.2%,"262,886,500",-7375400 ( -2.7% ),"34,103",-1037 ( -3.0% ),"3,380,416,200","449,358",5
1/2/2018,371,7.0%,510,3.0%,"59,493",2.2%,30.1%,"123,797,500",-139089000 ( -52.9% ),"17,929",-16174 ( -47.4% ),"3,504,213,700","467,287",5
1/3/2018,153,2.9%,178,1.0%,"19,424",0.7%,36.3%,"48,771,800",-75025700 ( -60.6% ),"7,052",-10877 ( -60.7% ),"3,552,985,500","474,339",7
1/4/2018,137,2.4%,154,0.9%,"16,327",0.6%,34.1%,"38,617,200",-10154600 ( -20.8% ),"5,566",-1486 ( -21.1% ),"3,591,602,700","479,905",8
