'아메리칸 메이드' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
9/14/2017,653,11.4%,"2,899",17.0%,"527,792",18.8%,9.3%,"359,380,500",357266500 ( 16900.0% ),"49,188",48886 ( 16187.4% ),"363,158,500","49,698",3
9/15/2017,691,11.8%,"3,022",17.2%,"541,077",18.8%,9.9%,"439,236,045",79855545 ( 22.2% ),"53,603",4415 ( 9.0% ),"802,394,545","103,301",3
9/16/2017,690,10.7%,"3,137",16.6%,"550,616",17.9%,16.2%,"742,586,127",303350082 ( 69.1% ),"89,194",35591 ( 66.4% ),"1,544,980,672","192,495",3
9/17/2017,665,10.5%,"2,985",16.2%,"526,241",17.5%,14.0%,"611,562,400",-131023727 ( -17.6% ),"73,867",-15327 ( -17.2% ),"2,156,543,072","266,362",3
9/18/2017,607,10.8%,"2,639",16.0%,"480,189",17.6%,5.4%,"187,795,200",-423767200 ( -69.3% ),"25,770",-48097 ( -65.1% ),"2,344,338,272","292,132",3
9/19/2017,612,10.7%,"2,590",15.9%,"469,832",17.4%,4.6%,"158,883,700",-28911500 ( -15.4% ),"21,715",-4055 ( -15.7% ),"2,503,221,972","313,847",3
9/20/2017,613,10.8%,"2,554",15.7%,"457,016",17.0%,4.7%,"156,620,400",-2263300 ( -1.4% ),"21,620",-95 ( -0.4% ),"2,659,842,372","335,467",3
9/21/2017,423,7.8%,"1,083",6.6%,"170,491",6.3%,5.3%,"64,771,200",-91849200 ( -58.6% ),"8,970",-12650 ( -58.5% ),"2,724,613,572","344,437",4
9/22/2017,433,7.8%,"1,142",6.8%,"176,992",6.4%,6.0%,"85,052,689",20281489 ( 31.3% ),"10,541",1571 ( 17.5% ),"2,809,666,261","354,978",5
9/23/2017,438,7.2%,997,5.5%,"142,653",4.8%,11.1%,"131,495,184",46442495 ( 54.6% ),"15,890",5349 ( 50.7% ),"2,941,161,445","370,868",5
9/24/2017,434,7.2%,971,5.5%,"139,065",4.8%,10.8%,"124,120,700",-7374484 ( -5.6% ),"14,993",-897 ( -5.6% ),"3,065,282,145","385,861",5
9/25/2017,403,7.7%,942,5.9%,"148,584",5.6%,3.6%,"37,712,400",-86408300 ( -69.6% ),"5,297",-9696 ( -64.7% ),"3,102,994,545","391,158",6
9/26/2017,405,7.4%,931,5.9%,"144,940",5.5%,3.4%,"35,572,600",-2139800 ( -5.7% ),"4,983",-314 ( -5.9% ),"3,138,567,145","396,141",6
9/27/2017,53,1.0%,77,0.5%,"9,737",0.4%,5.2%,"3,118,000",-32454600 ( -91.2% ),502,-4481 ( -89.9% ),"3,141,685,145","396,643",22
9/28/2017,29,0.6%,44,0.3%,"6,406",0.2%,5.9%,"2,717,500",-400500 ( -12.8% ),377,-125 ( -24.9% ),"3,144,402,645","397,020",27
9/29/2017,32,0.6%,54,0.3%,"6,424",0.2%,7.8%,"3,814,000",1096500 ( 40.3% ),503,126 ( 33.4% ),"3,148,216,645","397,523",19
9/30/2017,29,0.5%,43,0.2%,"5,224",0.2%,12.0%,"4,889,500",1075500 ( 28.2% ),628,125 ( 24.9% ),"3,153,106,145","398,151",22
10/1/2017,29,0.5%,40,0.2%,"4,603",0.2%,14.7%,"5,533,000",643500 ( 13.2% ),676,48 ( 7.6% ),"3,158,639,145","398,827",22
10/2/2017,33,0.6%,45,0.2%,"5,655",0.2%,10.3%,"4,026,000",-1507000 ( -27.2% ),584,-92 ( -13.6% ),"3,162,665,145","399,411",23
10/3/2017,6,0.1%,6,0.0%,"1,006",0.0%,7.4%,"457,500",-3568500 ( -88.6% ),74,-510 ( -87.3% ),"3,163,122,645","399,485",49
10/4/2017,7,0.1%,7,0.0%,"1,025",0.0%,8.3%,"515,000",57500 ( 12.6% ),85,11 ( 14.9% ),"3,163,637,645","399,570",42
10/5/2017,6,0.1%,6,0.0%,994,0.0%,6.7%,"409,000",-106000 ( -20.6% ),67,-18 ( -21.2% ),"3,164,046,645","399,637",48
10/6/2017,7,0.1%,7,0.0%,"1,043",0.0%,8.3%,"518,000",109000 ( 26.7% ),87,20 ( 29.9% ),"3,164,564,645","399,724",49
10/7/2017,6,0.1%,6,0.0%,994,0.0%,7.3%,"440,000",-78000 ( -15.1% ),73,-14 ( -16.1% ),"3,165,004,645","399,797",51
10/8/2017,8,0.1%,8,0.0%,"1,151",0.0%,8.6%,"692,000",252000 ( 57.3% ),99,26 ( 35.6% ),"3,165,696,645","399,896",48
10/9/2017,7,0.1%,7,0.0%,"1,043",0.0%,8.1%,"522,500",-169500 ( -24.5% ),85,-14 ( -14.1% ),"3,166,219,145","399,981",44
10/10/2017,7,0.2%,7,0.0%,974,0.0%,6.4%,"370,000",-152500 ( -29.2% ),62,-23 ( -27.1% ),"3,166,589,145","400,043",40
10/11/2017,5,0.1%,5,0.0%,886,0.0%,6.8%,"360,000",-10000 ( -2.7% ),60,-2 ( -3.2% ),"3,166,949,145","400,103",49
10/12/2017,5,0.1%,5,0.0%,924,0.0%,6.5%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,167,309,145","400,163",44
10/13/2017,5,0.1%,5,0.0%,924,0.0%,6.5%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,167,669,145","400,223",45
10/14/2017,6,0.1%,6,0.0%,875,0.0%,11.2%,"550,000",190000 ( 52.8% ),98,38 ( 63.3% ),"3,168,219,145","400,321",43
10/15/2017,5,0.1%,5,0.0%,683,0.0%,8.8%,"360,000",-190000 ( -34.5% ),60,-38 ( -38.8% ),"3,168,579,145","400,381",48
10/16/2017,5,0.1%,5,0.0%,924,0.0%,6.5%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,168,939,145","400,441",37
10/17/2017,5,0.1%,5,0.0%,"1,113",0.0%,5.4%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,169,299,145","400,501",43
10/18/2017,5,0.1%,5,0.0%,912,0.0%,6.6%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,169,659,145","400,561",50
10/19/2017,5,0.1%,5,0.0%,855,0.0%,7.0%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,170,019,145","400,621",52
10/20/2017,5,0.1%,5,0.0%,875,0.0%,6.9%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,170,379,145","400,681",52
10/21/2017,5,0.1%,5,0.0%,821,0.0%,7.3%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,170,739,145","400,741",59
10/22/2017,5,0.1%,5,0.0%,821,0.0%,7.3%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,171,099,145","400,801",52
10/23/2017,5,0.1%,5,0.0%,855,0.0%,7.0%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,171,459,145","400,861",53
10/24/2017,5,0.1%,5,0.0%,855,0.0%,7.0%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,171,819,145","400,921",59
10/25/2017,5,0.1%,5,0.0%,"1,229",0.0%,4.9%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,172,179,145","400,981",56
10/26/2017,5,0.1%,5,0.0%,"1,229",0.0%,4.9%,"360,000",0 ( 0.0% ),60,0 ( 0.0% ),"3,172,539,145","401,041",81
