'신과함께-죄와 벌' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/20/2017,"1,538",29.8%,"6,818",41.5%,"1,241,431",46.8%,32.7%,"2,984,150,800",2979626800 ( 65862.7% ),"406,365",405713 ( 62225.9% ),"3,111,183,000","422,564",1
12/21/2017,"1,582",28.1%,"6,955",41.7%,"1,268,206",47.2%,31.7%,"2,974,413,400",-9737400 ( -0.3% ),"401,449",-4916 ( -1.2% ),"6,085,596,400","824,013",1
12/22/2017,"1,653",28.9%,"7,458",43.4%,"1,356,053",49.1%,36.7%,"4,062,412,398",1087998998 ( 36.6% ),"497,810",96361 ( 24.0% ),"10,148,008,798","1,321,823",1
12/23/2017,"1,818",28.8%,"8,426",45.1%,"1,524,741",51.2%,63.5%,"8,037,759,271",3975346873 ( 97.9% ),"968,372",470562 ( 94.5% ),"18,185,768,069","2,290,195",1
12/24/2017,"1,887",30.0%,"8,801",46.7%,"1,583,500",52.8%,80.1%,"10,584,623,400",2546864129 ( 31.7% ),"1,268,537",300165 ( 31.0% ),"28,770,391,469","3,558,732",1
12/25/2017,"1,912",30.4%,"8,641",47.0%,"1,553,426",53.1%,78.1%,"10,020,464,250",-564159150 ( -5.3% ),"1,212,822",-55715 ( -4.4% ),"38,790,855,719","4,771,554",1
12/26/2017,"1,662",29.6%,"7,816",46.1%,"1,429,039",52.7%,30.1%,"3,195,369,100",-6825095150 ( -68.1% ),"430,026",-782796 ( -64.5% ),"41,986,224,819","5,201,580",1
12/27/2017,"1,428",26.3%,"5,998",35.1%,"1,036,940",37.8%,47.7%,"3,021,329,100",-174040000 ( -5.4% ),"495,106",65080 ( 15.1% ),"45,007,553,919","5,696,686",1
12/28/2017,"1,505",27.4%,"6,547",37.9%,"1,143,798",41.4%,33.0%,"2,803,729,600",-217599500 ( -7.2% ),"377,807",-117299 ( -23.7% ),"47,811,283,519","6,074,493",1
12/29/2017,"1,565",28.0%,"7,190",40.3%,"1,272,651",44.6%,41.9%,"4,414,381,670",1610652070 ( 57.4% ),"532,755",154948 ( 41.0% ),"52,225,665,189","6,607,248",1
12/30/2017,"1,666",28.8%,"8,257",44.3%,"1,488,874",50.2%,61.0%,"7,556,661,043",3142279373 ( 71.2% ),"908,290",375535 ( 70.5% ),"59,782,326,232","7,515,538",1
12/31/2017,"1,663",28.8%,"8,332",44.6%,"1,509,200",50.7%,67.8%,"8,568,170,200",1011509157 ( 13.4% ),"1,023,957",115667 ( 12.7% ),"68,350,496,432","8,539,495",1
1/1/2018,"1,644",29.0%,"7,957",44.3%,"1,448,553",50.7%,63.3%,"7,715,346,100",-852824100 ( -10.0% ),"916,689",-107268 ( -10.5% ),"76,065,842,532","9,456,184",1
1/2/2018,"1,446",27.1%,"7,019",40.6%,"1,307,465",47.4%,22.5%,"2,205,552,800",-5509793300 ( -71.4% ),"294,360",-622329 ( -67.9% ),"78,271,395,332","9,750,544",1
1/3/2018,"1,241",23.3%,"5,724",32.8%,"1,082,762",38.9%,19.9%,"1,622,679,700",-582873100 ( -26.4% ),"215,997",-78363 ( -26.6% ),"79,894,075,032","9,966,541",1
1/4/2018,"1,227",21.9%,"5,526",31.5%,"1,051,157",37.5%,20.6%,"1,629,949,600",7269900 ( 0.4% ),"217,041",1044 ( 0.5% ),"81,524,024,632","10,183,582",1
