'스파이더맨: 홈 커밍' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
7/5/2017,"1,703",39.6%,"9,117",57.8%,"1,702,485",65.8%,32.0%,"4,247,740,050",4219797050 ( 15101.4% ),"545,302",542204 ( 17501.7% ),"4,303,375,050","551,499",1
7/6/2017,"1,733",39.0%,"9,170",57.9%,"1,710,240",65.8%,23.7%,"3,156,783,500",-1090956550 ( -25.7% ),"405,399",-139903 ( -25.7% ),"7,460,158,550","956,898",1
7/7/2017,"1,796",39.6%,"9,533",58.5%,"1,765,989",66.4%,30.4%,"4,552,872,932",1396089432 ( 44.2% ),"537,526",132127 ( 32.6% ),"12,013,031,482","1,494,424",1
7/8/2017,"1,965",41.1%,"10,679",62.3%,"1,942,894",69.7%,56.6%,"9,290,724,642",4737851710 ( 104.1% ),"1,098,751",561225 ( 104.4% ),"21,303,756,124","2,593,175",1
7/9/2017,"1,965",41.6%,"10,524",63.0%,"1,914,659",70.3%,50.7%,"8,168,301,700",-1122422942 ( -12.1% ),"970,771",-127980 ( -11.6% ),"29,472,057,824","3,563,946",1
7/10/2017,"1,761",41.6%,"9,331",60.6%,"1,732,372",68.5%,14.7%,"1,977,266,100",-6191035600 ( -75.8% ),"254,624",-716147 ( -73.8% ),"31,449,323,924","3,818,570",1
7/11/2017,"1,797",39.8%,"9,249",59.7%,"1,717,988",67.6%,15.6%,"2,051,712,700",74446600 ( 3.8% ),"267,167",12543 ( 4.9% ),"33,501,036,624","4,085,737",1
7/12/2017,"1,705",38.8%,"8,859",56.8%,"1,655,416",64.8%,13.0%,"1,644,824,300",-406888400 ( -19.8% ),"215,812",-51355 ( -19.2% ),"35,145,860,924","4,301,549",1
7/13/2017,"1,668",34.2%,"8,446",53.5%,"1,590,666",61.6%,11.6%,"1,403,485,100",-241339200 ( -14.7% ),"183,923",-31889 ( -14.8% ),"36,549,346,024","4,485,472",1
7/14/2017,"1,700",33.5%,"8,751",53.6%,"1,648,424",61.8%,15.6%,"2,143,060,542",739575442 ( 52.7% ),"256,830",72907 ( 39.6% ),"38,692,406,566","4,742,302",1
7/15/2017,"1,781",33.1%,"9,257",52.9%,"1,726,791",60.6%,36.6%,"5,301,827,757",3158767215 ( 147.4% ),"632,067",375237 ( 146.1% ),"43,994,234,323","5,374,369",1
7/16/2017,"1,762",33.4%,"8,901",52.6%,"1,663,151",60.4%,31.8%,"4,416,140,150",-885687607 ( -16.7% ),"528,457",-103610 ( -16.4% ),"48,410,374,473","5,902,826",1
7/17/2017,"1,600",34.8%,"8,068",52.4%,"1,531,173",60.5%,8.1%,"958,471,900",-3457668250 ( -78.3% ),"124,148",-404309 ( -76.5% ),"49,368,846,373","6,026,974",1
7/18/2017,"1,617",33.3%,"7,934",51.6%,"1,508,136",59.7%,7.4%,"853,658,600",-104813300 ( -10.9% ),"111,280",-12868 ( -10.4% ),"50,222,504,973","6,138,254",1
7/19/2017,"1,472",29.1%,"7,229",44.7%,"1,395,338",52.9%,7.4%,"791,554,400",-62104200 ( -7.3% ),"103,671",-7609 ( -6.8% ),"51,014,059,373","6,241,925",1
7/20/2017,895,15.8%,"3,744",20.4%,"638,251",21.1%,12.5%,"595,059,400",-196495000 ( -24.8% ),"79,499",-24172 ( -23.3% ),"51,609,118,773","6,321,424",2
7/21/2017,897,15.6%,"3,834",20.3%,"642,736",20.7%,17.7%,"941,842,632",346783232 ( 58.3% ),"113,462",33963 ( 42.7% ),"52,550,961,405","6,434,886",2
7/22/2017,918,15.0%,"3,841",19.4%,"640,267",19.7%,35.2%,"1,880,483,025",938640393 ( 99.7% ),"225,365",111903 ( 98.6% ),"54,431,444,430","6,660,251",2
7/23/2017,914,14.9%,"3,753",19.4%,"627,127",19.8%,31.1%,"1,628,030,050",-252452975 ( -13.4% ),"195,009",-30356 ( -13.5% ),"56,059,474,480","6,855,260",2
7/24/2017,876,15.8%,"3,606",19.6%,"604,599",20.0%,10.4%,"471,231,900",-1156798150 ( -71.1% ),"62,945",-132064 ( -67.7% ),"56,530,706,380","6,918,205",2
7/25/2017,879,15.4%,"3,611",19.6%,"601,290",19.9%,10.4%,"468,059,800",-3172100 ( -0.7% ),"62,825",-120 ( -0.2% ),"56,998,766,180","6,981,030",2
7/26/2017,429,7.8%,785,4.3%,"101,143",3.4%,28.4%,"176,787,300",-291272500 ( -62.2% ),"28,732",-34093 ( -54.3% ),"57,175,553,480","7,009,762",4
7/27/2017,410,7.7%,760,4.1%,"96,735",3.2%,22.8%,"161,682,200",-15105100 ( -8.5% ),"22,024",-6708 ( -23.3% ),"57,337,235,680","7,031,786",4
7/28/2017,421,7.9%,727,3.9%,"90,239",3.0%,27.7%,"204,813,566",43131366 ( 26.7% ),"25,030",3006 ( 13.6% ),"57,542,049,246","7,056,816",4
7/29/2017,414,7.5%,643,3.3%,"81,285",2.6%,46.4%,"308,486,974",103673408 ( 50.6% ),"37,683",12653 ( 50.6% ),"57,850,536,220","7,094,499",4
7/30/2017,425,7.8%,697,3.6%,"88,436",2.9%,42.4%,"308,145,100",-341874 ( -0.1% ),"37,500",-183 ( -0.5% ),"58,158,681,320","7,131,999",4
7/31/2017,490,9.2%,877,4.7%,"114,795",3.8%,30.8%,"263,303,300",-44841800 ( -14.6% ),"35,402",-2098 ( -5.6% ),"58,421,984,620","7,167,401",4
8/1/2017,497,9.0%,893,4.7%,"117,638",3.9%,28.9%,"252,998,700",-10304600 ( -3.9% ),"34,024",-1378 ( -3.9% ),"58,674,983,320","7,201,425",4
8/2/2017,117,2.2%,187,1.0%,"23,210",0.8%,35.0%,"60,191,300",-192807400 ( -76.2% ),"8,123",-25901 ( -76.1% ),"58,735,174,620","7,209,548",7
8/3/2017,116,2.1%,189,1.0%,"23,273",0.8%,30.3%,"52,714,100",-7477200 ( -12.4% ),"7,051",-1072 ( -13.2% ),"58,787,888,720","7,216,599",7
8/4/2017,116,2.1%,192,1.0%,"24,008",0.8%,29.8%,"59,579,600",6865500 ( 13.0% ),"7,144",93 ( 1.3% ),"58,847,468,320","7,223,743",7
8/5/2017,120,2.1%,189,1.0%,"23,626",0.8%,40.6%,"80,729,400",21149800 ( 35.5% ),"9,586",2442 ( 34.2% ),"58,928,197,720","7,233,329",7
8/6/2017,116,2.1%,187,1.0%,"22,883",0.8%,32.5%,"62,509,700",-18219700 ( -22.6% ),"7,437",-2149 ( -22.4% ),"58,990,707,420","7,240,766",7
8/7/2017,126,2.4%,209,1.2%,"26,788",0.9%,16.5%,"33,353,000",-29156700 ( -46.6% ),"4,430",-3007 ( -40.4% ),"59,024,060,420","7,245,196",6
8/8/2017,121,2.3%,208,1.2%,"26,222",0.9%,17.9%,"33,650,500",297500 ( 0.9% ),"4,702",272 ( 6.1% ),"59,057,710,920","7,249,898",7
8/9/2017,32,0.6%,46,0.2%,"5,771",0.2%,27.7%,"10,890,100",-22760400 ( -67.6% ),"1,601",-3101 ( -66.0% ),"59,068,601,020","7,251,499",11
8/10/2017,20,0.4%,28,0.1%,"3,409",0.1%,19.8%,"5,091,500",-5798600 ( -53.2% ),676,-925 ( -57.8% ),"59,073,692,520","7,252,175",17
8/11/2017,18,0.3%,23,0.1%,"3,017",0.1%,27.7%,"7,062,000",1970500 ( 38.7% ),835,159 ( 23.5% ),"59,080,754,520","7,253,010",15
8/12/2017,21,0.3%,29,0.1%,"3,918",0.1%,26.6%,"8,888,000",1826000 ( 25.9% ),"1,044",209 ( 25.0% ),"59,089,642,520","7,254,054",15
8/13/2017,19,0.3%,25,0.1%,"2,905",0.1%,28.4%,"6,774,000",-2114000 ( -23.8% ),824,-220 ( -21.1% ),"59,096,416,520","7,254,878",17
8/14/2017,18,0.3%,22,0.1%,"2,860",0.1%,29.3%,"6,191,500",-582500 ( -8.6% ),839,15 ( 1.8% ),"59,102,608,020","7,255,717",15
8/15/2017,6,0.1%,6,0.0%,688,0.0%,38.7%,"2,084,500",-4107000 ( -66.3% ),266,-573 ( -68.3% ),"59,104,692,520","7,255,983",28
8/16/2017,7,0.1%,7,0.0%,688,0.0%,32.7%,"1,713,000",-371500 ( -17.8% ),225,-41 ( -15.4% ),"59,106,405,520","7,256,208",27
