'범죄도시' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/3/2017,600,10.2%,"2,395",13.0%,"324,006",11.0%,50.7%,"1,377,207,900",1377207900 ( 100.0% ),"164,399",164399 ( 100.0% ),"1,634,269,500","194,807",3
10/4/2017,687,11.7%,"2,464",13.5%,"330,818",11.3%,62.4%,"1,737,787,900",360580000 ( 26.2% ),"206,458",42059 ( 25.6% ),"3,372,057,400","401,265",3
10/5/2017,871,14.3%,"2,966",15.9%,"402,681",13.5%,68.8%,"2,305,372,600",567584700 ( 32.7% ),"277,219",70761 ( 34.3% ),"5,677,430,000","678,484",3
10/6/2017,"1,007",15.8%,"3,460",18.5%,"484,791",16.2%,68.8%,"2,764,014,054",458641454 ( 19.9% ),"333,298",56079 ( 20.2% ),"8,441,444,054","1,011,782",2
10/7/2017,"1,158",18.0%,"4,065",21.7%,"602,362",20.1%,61.4%,"3,087,016,738",323002684 ( 11.7% ),"369,907",36609 ( 11.0% ),"11,528,460,792","1,381,689",2
10/8/2017,"1,315",20.2%,"4,545",24.3%,"697,840",23.3%,61.0%,"3,573,605,100",486588362 ( 15.8% ),"425,472",55565 ( 15.0% ),"15,102,065,892","1,807,161",1
10/9/2017,"1,266",20.8%,"4,784",26.5%,"758,245",26.3%,53.2%,"3,387,916,200",-185688900 ( -5.2% ),"403,114",-22358 ( -5.3% ),"18,489,982,092","2,210,275",1
10/10/2017,"1,020",21.9%,"4,689",29.7%,"784,779",30.4%,22.7%,"1,342,148,600",-2045767600 ( -60.4% ),"178,322",-224792 ( -55.8% ),"19,832,130,692","2,388,597",1
10/11/2017,"1,045",22.6%,"4,819",30.5%,"812,146",31.5%,21.9%,"1,332,961,800",-9186800 ( -0.7% ),"177,691",-631 ( -0.4% ),"21,165,092,492","2,566,288",1
10/12/2017,898,17.6%,"3,841",22.8%,"712,434",25.9%,21.8%,"1,176,894,500",-156067300 ( -11.7% ),"155,478",-22213 ( -12.5% ),"22,341,986,992","2,721,766",1
10/13/2017,974,18.5%,"4,187",24.7%,"782,594",28.4%,24.9%,"1,647,544,963",470650463 ( 40.0% ),"195,106",39628 ( 25.5% ),"23,989,531,955","2,916,872",1
10/14/2017,"1,127",19.5%,"5,215",29.0%,"1,012,042",34.8%,39.2%,"3,385,157,918",1737612955 ( 105.5% ),"396,245",201139 ( 103.1% ),"27,374,689,873","3,313,117",1
10/15/2017,"1,116",19.6%,"5,224",29.7%,"1,014,747",35.7%,35.5%,"3,091,097,200",-294060718 ( -8.7% ),"360,349",-35896 ( -9.1% ),"30,465,787,073","3,673,466",1
10/16/2017,"1,039",21.2%,"4,852",30.5%,"934,395",36.0%,14.2%,"1,008,812,400",-2082284800 ( -67.4% ),"132,489",-227860 ( -63.2% ),"31,474,599,473","3,805,955",1
10/17/2017,"1,070",21.0%,"4,857",30.6%,"929,815",35.9%,13.7%,"968,249,600",-40562800 ( -4.0% ),"127,832",-4657 ( -3.5% ),"32,442,849,073","3,933,787",1
10/18/2017,"1,074",21.0%,"4,936",31.0%,"939,144",36.3%,13.7%,"972,578,000",4328400 ( 0.4% ),"128,403",571 ( 0.4% ),"33,415,427,073","4,062,190",1
10/19/2017,826,14.3%,"3,730",22.2%,"681,086",24.6%,17.3%,"894,168,800",-78409200 ( -8.1% ),"117,775",-10628 ( -8.3% ),"34,309,595,873","4,179,965",1
10/20/2017,885,14.6%,"3,935",22.7%,"718,842",25.4%,23.2%,"1,404,829,044",510660244 ( 57.1% ),"166,800",49025 ( 41.6% ),"35,714,424,917","4,346,765",1
10/21/2017,994,15.4%,"4,596",24.8%,"855,465",28.3%,37.6%,"2,747,994,941",1343165897 ( 95.6% ),"321,311",154511 ( 92.6% ),"38,462,419,858","4,668,076",1
10/22/2017,986,15.5%,"4,595",25.4%,"858,032",29.0%,34.9%,"2,572,164,100",-175830841 ( -6.4% ),"299,116",-22195 ( -6.9% ),"41,034,583,958","4,967,192",1
10/23/2017,906,16.4%,"4,246",25.8%,"781,009",28.7%,14.0%,"824,492,100",-1747672000 ( -67.9% ),"109,005",-190111 ( -63.6% ),"41,859,076,058","5,076,197",1
10/24/2017,914,16.0%,"4,261",25.8%,"781,820",28.7%,12.8%,"757,190,300",-67301800 ( -8.2% ),"100,208",-8797 ( -8.1% ),"42,616,266,358","5,176,405",1
10/25/2017,696,12.9%,"2,665",16.0%,"380,616",14.1%,29.3%,"676,147,600",-81042700 ( -10.7% ),"111,470",11262 ( 11.2% ),"43,292,413,958","5,287,875",2
10/26/2017,662,12.4%,"2,697",16.2%,"384,978",14.2%,21.1%,"612,166,500",-63981100 ( -9.5% ),"81,135",-30335 ( -27.2% ),"43,904,580,458","5,369,010",2
10/27/2017,687,12.7%,"2,863",16.7%,"404,284",14.5%,26.7%,"909,097,722",296931222 ( 48.5% ),"107,996",26861 ( 33.1% ),"44,813,678,180","5,477,006",2
10/28/2017,768,13.5%,"3,237",17.9%,"462,036",15.9%,41.2%,"1,618,957,524",709859802 ( 78.1% ),"190,514",82518 ( 76.4% ),"46,432,635,704","5,667,520",2
10/29/2017,760,13.6%,"3,211",18.2%,"456,775",16.0%,38.9%,"1,516,526,700",-102430824 ( -6.3% ),"177,537",-12977 ( -6.8% ),"47,949,162,404","5,845,057",2
10/30/2017,708,14.1%,"3,109",19.0%,"436,676",16.4%,17.0%,"557,734,200",-958792500 ( -63.2% ),"74,380",-103157 ( -58.1% ),"48,506,896,604","5,919,437",2
10/31/2017,717,13.9%,"3,096",19.0%,"435,999",16.4%,16.8%,"545,458,400",-12275800 ( -2.2% ),"73,257",-1123 ( -1.5% ),"49,052,355,004","5,992,694",2
11/1/2017,728,14.3%,"3,153",19.4%,"444,335",16.8%,14.5%,"484,800,300",-60658100 ( -11.1% ),"64,455",-8802 ( -12.0% ),"49,537,155,304","6,057,149",2
11/2/2017,550,10.4%,"1,947",11.4%,"269,405",9.7%,16.8%,"343,228,200",-141572100 ( -29.2% ),"45,275",-19180 ( -29.8% ),"49,880,383,504","6,102,424",4
