'군함도' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
7/26/2017,"2,027",37.0%,"10,182",55.2%,"1,838,526",61.7%,52.9%,"6,109,565,800",6040275800 ( 8717.4% ),"972,161",964240 ( 12173.2% ),"6,294,872,600","993,790",1
7/27/2017,"1,962",36.8%,"10,219",55.1%,"1,846,388",61.6%,30.3%,"4,121,166,500",-1988399300 ( -32.5% ),"559,467",-412694 ( -42.5% ),"10,416,039,100","1,553,257",1
7/28/2017,"1,989",37.5%,"10,514",55.8%,"1,902,787",62.5%,30.6%,"4,811,934,126",690767626 ( 16.8% ),"582,364",22897 ( 4.1% ),"15,227,973,226","2,135,621",1
7/29/2017,"2,020",36.8%,"10,815",55.8%,"1,944,048",62.1%,52.3%,"8,437,357,914",3625423788 ( 75.3% ),"1,016,790",434426 ( 74.6% ),"23,665,331,140","3,152,411",1
7/30/2017,"1,986",36.2%,"10,361",54.2%,"1,869,318",60.8%,49.1%,"7,612,135,400",-825222514 ( -9.8% ),"917,669",-99121 ( -9.7% ),"31,277,466,540","4,070,080",1
7/31/2017,"1,841",34.7%,"9,730",52.0%,"1,765,102",58.3%,26.5%,"3,478,438,000",-4133697400 ( -54.3% ),"468,140",-449529 ( -49.0% ),"34,755,904,540","4,538,220",1
8/1/2017,"1,848",33.6%,"9,518",50.5%,"1,726,636",56.7%,23.3%,"2,967,903,300",-510534700 ( -14.7% ),"402,094",-66046 ( -14.1% ),"37,723,807,840","4,940,314",1
8/2/2017,"1,109",21.1%,"4,924",26.7%,"783,811",26.3%,31.7%,"1,826,982,300",-1140921000 ( -38.4% ),"248,200",-153894 ( -38.3% ),"39,550,790,140","5,188,514",2
8/3/2017,"1,075",19.4%,"4,628",25.0%,"734,379",24.6%,27.1%,"1,462,878,500",-364103800 ( -19.9% ),"199,203",-48997 ( -19.7% ),"41,013,668,640","5,387,717",2
8/4/2017,"1,018",18.4%,"4,273",22.9%,"672,121",22.3%,27.9%,"1,539,234,185",76355685 ( 5.2% ),"187,684",-11519 ( -5.8% ),"42,552,902,825","5,575,401",2
8/5/2017,957,16.9%,"3,704",19.6%,"569,759",18.7%,47.5%,"2,245,544,801",706310616 ( 45.9% ),"270,522",82838 ( 44.1% ),"44,798,447,626","5,845,923",2
8/6/2017,922,16.4%,"3,432",18.5%,"521,852",17.4%,45.0%,"1,945,448,300",-300096501 ( -13.4% ),"234,726",-35796 ( -13.2% ),"46,743,895,926","6,080,649",2
8/7/2017,876,16.8%,"3,405",19.0%,"499,273",17.2%,19.8%,"721,420,900",-1224027400 ( -62.9% ),"98,728",-135998 ( -57.9% ),"47,465,316,826","6,179,377",2
8/8/2017,857,16.3%,"3,355",18.7%,"491,079",16.9%,17.2%,"609,107,300",-112313600 ( -15.6% ),"84,579",-14149 ( -14.3% ),"48,074,424,126","6,263,956",2
8/9/2017,632,11.3%,"1,662",9.0%,"205,648",6.8%,23.3%,"345,296,000",-263811300 ( -43.3% ),"47,910",-36669 ( -43.4% ),"48,419,720,126","6,311,866",3
