'청년경찰' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/9/2017,"1,102",19.6%,"5,954",32.1%,"1,007,720",33.5%,30.6%,"2,252,747,600",2239193600 ( 16520.5% ),"308,298",306039 ( 13547.5% ),"2,560,084,700","344,954",2
8/10/2017,"1,065",18.7%,"5,700",30.3%,"970,247",31.9%,28.6%,"2,042,922,400",-209825200 ( -9.3% ),"277,400",-30898 ( -10.0% ),"4,603,007,100","622,354",2
8/11/2017,"1,046",18.1%,"5,598",29.4%,"947,881",30.8%,32.1%,"2,474,991,162",432068762 ( 21.1% ),"304,102",26702 ( 9.6% ),"7,077,998,262","926,456",2
8/12/2017,"1,058",17.3%,"5,422",27.8%,"905,325",28.7%,57.2%,"4,234,950,932",1759959770 ( 71.1% ),"517,559",213457 ( 70.2% ),"11,312,949,194","1,444,015",2
8/13/2017,"1,037",17.1%,"5,263",27.3%,"878,910",28.2%,57.4%,"4,144,184,100",-90766832 ( -2.1% ),"504,156",-13403 ( -2.6% ),"15,457,133,294","1,948,171",2
8/14/2017,"1,019",17.8%,"5,345",27.9%,"875,944",28.2%,42.5%,"2,752,137,300",-1392046800 ( -33.6% ),"372,146",-132010 ( -26.2% ),"18,209,270,594","2,320,317",2
8/15/2017,881,15.4%,"3,938",20.9%,"597,647",19.7%,69.5%,"3,358,409,900",606272600 ( 22.0% ),"415,335",43189 ( 11.6% ),"21,567,680,494","2,735,652",3
8/16/2017,823,15.2%,"3,850",21.3%,"569,385",19.6%,30.7%,"1,291,740,500",-2066669400 ( -61.5% ),"174,950",-240385 ( -57.9% ),"22,859,420,994","2,910,602",2
8/17/2017,752,13.4%,"3,371",18.2%,"510,187",17.1%,28.8%,"1,087,120,600",-204619900 ( -15.8% ),"147,050",-27900 ( -15.9% ),"23,946,541,594","3,057,652",2
8/18/2017,813,14.2%,"3,515",18.8%,"538,094",17.9%,31.4%,"1,378,896,447",291775847 ( 26.8% ),"168,999",21949 ( 14.9% ),"25,325,438,041","3,226,651",2
8/19/2017,918,15.2%,"4,065",21.1%,"666,976",21.5%,52.3%,"2,851,665,100",1472768653 ( 106.8% ),"349,115",180116 ( 106.6% ),"28,177,103,141","3,575,766",2
8/20/2017,918,15.5%,"4,072",21.5%,"674,948",22.2%,49.0%,"2,718,529,100",-133136000 ( -4.7% ),"330,638",-18477 ( -5.3% ),"30,895,632,241","3,906,404",2
8/21/2017,798,15.0%,"3,801",21.4%,"626,621",21.8%,19.2%,"901,710,500",-1816818600 ( -66.8% ),"120,575",-210063 ( -63.5% ),"31,797,342,741","4,026,979",2
8/22/2017,817,14.8%,"3,824",21.6%,"633,874",22.1%,17.9%,"842,227,300",-59483200 ( -6.6% ),"113,654",-6921 ( -5.7% ),"32,639,570,041","4,140,633",2
8/23/2017,747,12.9%,"2,939",17.2%,"475,872",17.2%,18.7%,"654,954,900",-187272400 ( -22.2% ),"88,872",-24782 ( -21.8% ),"33,294,524,941","4,229,505",3
8/24/2017,717,11.5%,"3,044",16.9%,"499,460",17.1%,18.0%,"655,790,200",835300 ( 0.1% ),"89,912",1040 ( 1.2% ),"33,950,315,141","4,319,417",3
8/25/2017,742,11.8%,"3,178",17.3%,"519,078",17.5%,20.7%,"871,059,574",215269374 ( 32.8% ),"107,490",17578 ( 19.6% ),"34,821,374,715","4,426,907",3
8/26/2017,779,11.5%,"3,361",17.5%,"567,592",18.4%,38.4%,"1,794,548,601",923489027 ( 106.0% ),"218,153",110663 ( 103.0% ),"36,615,923,316","4,645,060",3
8/27/2017,771,11.6%,"3,350",17.9%,"565,930",18.7%,33.4%,"1,555,737,400",-238811201 ( -13.3% ),"189,064",-29089 ( -13.3% ),"38,171,660,716","4,834,124",3
8/28/2017,716,12.2%,"3,133",18.0%,"500,038",17.7%,12.3%,"460,324,200",-1095413200 ( -70.4% ),"61,716",-127348 ( -67.4% ),"38,631,984,916","4,895,840",3
8/29/2017,733,12.3%,"3,131",18.1%,"498,144",17.7%,12.4%,"454,162,300",-6161900 ( -1.3% ),"61,798",82 ( 0.1% ),"39,086,147,216","4,957,638",3
8/30/2017,627,10.9%,"2,214",12.8%,"371,783",13.2%,23.5%,"507,722,900",53560600 ( 11.8% ),"87,406",25608 ( 41.4% ),"39,593,870,116","5,045,044",2
8/31/2017,575,10.2%,"2,142",12.4%,"345,487",12.4%,13.4%,"334,179,600",-173543300 ( -34.2% ),"46,169",-41237 ( -47.2% ),"39,928,049,716","5,091,213",3
9/1/2017,640,11.2%,"2,383",13.5%,"384,270",13.4%,14.8%,"465,721,800",131542200 ( 39.4% ),"56,997",10828 ( 23.5% ),"40,393,771,516","5,148,210",2
9/2/2017,681,10.6%,"2,726",14.6%,"465,235",15.4%,26.1%,"1,014,777,100",549055300 ( 117.9% ),"121,617",64620 ( 113.4% ),"41,408,548,616","5,269,827",2
9/3/2017,686,10.8%,"2,685",14.8%,"457,707",15.6%,23.5%,"895,449,800",-119327300 ( -11.8% ),"107,474",-14143 ( -11.6% ),"42,303,998,416","5,377,301",2
9/4/2017,638,11.7%,"2,481",15.1%,"412,150",15.3%,7.6%,"233,955,600",-661494200 ( -73.9% ),"31,458",-76016 ( -70.7% ),"42,537,954,016","5,408,759",2
9/5/2017,633,11.3%,"2,445",14.9%,"406,282",15.2%,7.3%,"217,721,700",-16233900 ( -6.9% ),"29,679",-1779 ( -5.7% ),"42,755,675,716","5,438,438",2
9/6/2017,509,9.5%,"1,701",10.2%,"231,598",8.5%,9.3%,"153,535,700",-64186000 ( -29.5% ),"21,507",-8172 ( -27.5% ),"42,909,211,416","5,459,945",5
9/7/2017,503,8.5%,"1,541",9.2%,"212,547",7.7%,8.7%,"131,450,600",-22085100 ( -14.4% ),"18,568",-2939 ( -13.7% ),"43,040,662,016","5,478,513",5
9/8/2017,513,8.5%,"1,553",9.0%,"208,059",7.4%,9.4%,"159,048,200",27597600 ( 21.0% ),"19,545",977 ( 5.3% ),"43,199,710,216","5,498,058",5
9/9/2017,519,8.1%,"1,534",8.3%,"207,226",6.9%,20.4%,"301,830,900",142782700 ( 89.8% ),"42,322",22777 ( 116.5% ),"43,501,541,116","5,540,380",4
9/10/2017,495,7.9%,"1,485",8.2%,"202,582",6.9%,18.0%,"303,047,500",1216600 ( 0.4% ),"36,483",-5839 ( -13.8% ),"43,804,588,616","5,576,863",5
9/11/2017,479,8.5%,"1,443",8.8%,"192,536",7.2%,7.1%,"100,046,300",-203001200 ( -67.0% ),"13,707",-22776 ( -62.4% ),"43,904,634,916","5,590,570",5
9/12/2017,488,8.6%,"1,409",8.7%,"186,646",7.0%,6.0%,"80,375,000",-19671300 ( -19.7% ),"11,126",-2581 ( -18.8% ),"43,985,009,916","5,601,696",5
9/13/2017,490,8.0%,"1,261",7.7%,"164,139",6.1%,6.0%,"70,484,000",-9891000 ( -12.3% ),"9,865",-1261 ( -11.3% ),"44,055,493,916","5,611,561",6
9/14/2017,247,4.3%,425,2.5%,"52,517",1.9%,6.7%,"25,333,900",-45150100 ( -64.1% ),"3,506",-6359 ( -64.5% ),"44,080,827,816","5,615,067",11
9/15/2017,248,4.2%,430,2.4%,"55,257",1.9%,8.3%,"36,502,300",11168400 ( 44.1% ),"4,566",1060 ( 30.2% ),"44,117,330,116","5,619,633",10
9/16/2017,259,4.0%,439,2.3%,"56,333",1.8%,17.4%,"80,995,700",44493400 ( 121.9% ),"9,802",5236 ( 114.7% ),"44,198,325,816","5,629,435",9
9/17/2017,251,4.0%,433,2.3%,"55,371",1.8%,16.6%,"75,953,700",-5042000 ( -6.2% ),"9,201",-601 ( -6.1% ),"44,274,279,516","5,638,636",9
9/18/2017,251,4.5%,435,2.6%,"51,429",1.9%,6.1%,"22,308,800",-53644900 ( -70.6% ),"3,142",-6059 ( -65.9% ),"44,296,588,316","5,641,778",12
9/19/2017,255,4.5%,428,2.6%,"52,110",1.9%,6.1%,"22,295,400",-13400 ( -0.1% ),"3,186",44 ( 1.4% ),"44,318,883,716","5,644,964",11
9/20/2017,259,4.5%,424,2.6%,"52,765",2.0%,5.3%,"20,071,700",-2223700 ( -10.0% ),"2,816",-370 ( -11.6% ),"44,338,955,416","5,647,780",11
9/21/2017,48,0.9%,62,0.4%,"7,436",0.3%,5.8%,"3,232,500",-16839200 ( -83.9% ),432,-2384 ( -84.7% ),"44,342,187,916","5,648,212",28
9/22/2017,49,0.9%,67,0.4%,"8,586",0.3%,5.8%,"3,865,500",633000 ( 19.6% ),495,63 ( 14.6% ),"44,346,053,416","5,648,707",23
