'더 킹' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
1/18/2017,"1,125",20.5%,"5,364",31.5%,"1,060,455",38.1%,27.2%,"2,197,763,200",2155148200 ( 5057.3% ),"288,966",285072 ( 7320.8% ),"2,332,147,200","302,978",1
1/19/2017,"1,147",20.3%,"5,395",31.5%,"1,068,348",38.3%,22.3%,"1,810,239,800",-387523400 ( -17.6% ),"238,039",-50927 ( -17.6% ),"4,142,387,000","541,017",1
1/20/2017,"1,188",21.1%,"5,615",32.4%,"1,103,408",39.1%,23.7%,"2,235,092,100",424852300 ( 23.5% ),"261,528",23489 ( 9.9% ),"6,377,479,100","802,545",1
1/21/2017,"1,310",22.2%,"6,092",33.9%,"1,188,529",40.5%,44.2%,"4,490,105,729",2255013629 ( 100.9% ),"524,841",263313 ( 100.7% ),"10,867,584,829","1,327,386",1
1/22/2017,"1,289",22.1%,"5,913",33.7%,"1,159,552",40.5%,45.3%,"4,504,282,600",14176871 ( 0.3% ),"525,513",672 ( 0.1% ),"15,371,867,429","1,852,899",1
1/23/2017,"1,169",21.8%,"5,524",33.2%,"1,088,252",40.0%,15.0%,"1,243,052,400",-3261230200 ( -72.4% ),"163,491",-362022 ( -68.9% ),"16,614,919,829","2,016,390",1
1/24/2017,"1,181",21.5%,"5,500",32.7%,"1,082,388",39.5%,14.5%,"1,189,158,900",-53893500 ( -4.3% ),"156,749",-6742 ( -4.1% ),"17,804,078,729","2,173,139",1
1/25/2017,"1,071",17.8%,"4,658",27.0%,"912,774",32.5%,21.9%,"1,204,847,600",15688700 ( 1.3% ),"199,750",43001 ( 27.4% ),"19,008,926,329","2,372,889",1
1/26/2017,"1,046",17.3%,"4,860",27.2%,"943,246",32.5%,22.5%,"1,642,336,400",437488800 ( 36.3% ),"212,532",12782 ( 6.4% ),"20,651,262,729","2,585,421",2
1/27/2017,"1,118",17.3%,"5,067",27.4%,"946,045",31.6%,34.5%,"2,826,186,112",1183849712 ( 72.1% ),"326,785",114253 ( 53.8% ),"23,477,448,841","2,912,206",2
1/28/2017,"1,113",17.6%,"4,974",27.2%,"920,777",31.0%,46.7%,"3,768,450,768",942264656 ( 33.3% ),"429,935",103150 ( 31.6% ),"27,245,899,609","3,342,141",2
1/29/2017,"1,117",17.0%,"4,889",26.1%,"892,183",29.4%,55.3%,"4,253,621,700",485170932 ( 12.9% ),"493,218",63283 ( 14.7% ),"31,499,521,309","3,835,359",2
1/30/2017,"1,081",16.7%,"4,612",25.5%,"836,766",28.5%,51.4%,"3,637,450,800",-616170900 ( -14.5% ),"430,477",-62741 ( -12.7% ),"35,136,972,109","4,265,836",2
1/31/2017,982,16.7%,"4,324",25.0%,"778,315",27.7%,18.6%,"1,082,210,400",-2555240400 ( -70.2% ),"144,604",-285873 ( -66.4% ),"36,219,182,509","4,410,440",2
2/1/2017,909,16.9%,"3,982",23.8%,"684,494",25.0%,13.5%,"689,402,400",-392808000 ( -36.3% ),"92,503",-52101 ( -36.0% ),"36,908,584,909","4,502,943",2
2/2/2017,827,15.4%,"3,523",21.0%,"599,312",21.8%,13.1%,"587,350,500",-102051900 ( -14.8% ),"78,761",-13742 ( -14.9% ),"37,495,935,409","4,581,704",2
