'미녀와 야수' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
3/16/2017,"1,244",25.2%,"5,726",37.3%,"1,135,684",44.7%,14.7%,"1,322,211,700",1322211700 ( 100.0% ),"166,930",166930 ( 100.0% ),"1,349,114,700","169,423",1
3/17/2017,"1,260",25.1%,"6,028",37.9%,"1,184,685",45.2%,19.8%,"2,040,619,869",718408169 ( 54.3% ),"234,961",68031 ( 40.8% ),"3,389,734,569","404,384",1
3/18/2017,"1,611",29.4%,"7,886",46.4%,"1,493,531",53.8%,40.3%,"5,146,353,230",3105733361 ( 152.2% ),"602,569",367608 ( 156.5% ),"8,536,087,799","1,006,953",1
3/19/2017,"1,627",29.9%,"7,757",47.1%,"1,470,304",54.5%,38.4%,"4,781,249,450",-365103780 ( -7.1% ),"564,477",-38092 ( -6.3% ),"13,317,337,249","1,571,430",1
3/20/2017,"1,336",27.5%,"6,305",42.3%,"1,236,717",50.1%,11.7%,"1,124,594,800",-3656654650 ( -76.5% ),"144,248",-420229 ( -74.4% ),"14,441,932,049","1,715,678",1
3/21/2017,"1,352",27.5%,"6,325",42.5%,"1,239,438",50.3%,11.0%,"1,057,859,200",-66735600 ( -5.9% ),"136,339",-7909 ( -5.5% ),"15,499,791,249","1,852,017",1
3/22/2017,"1,318",23.2%,"5,424",36.1%,"1,046,505",42.1%,11.9%,"959,937,600",-97921600 ( -9.3% ),"124,015",-12324 ( -9.0% ),"16,459,728,849","1,976,032",1
3/23/2017,896,18.2%,"4,063",25.7%,"771,473",29.7%,12.9%,"779,664,700",-180272900 ( -18.8% ),"99,762",-24253 ( -19.6% ),"17,239,393,549","2,075,794",2
3/24/2017,939,18.7%,"4,338",26.6%,"819,501",30.7%,19.4%,"1,371,221,755",591557055 ( 75.9% ),"158,998",59236 ( 59.4% ),"18,610,615,304","2,234,792",2
3/25/2017,"1,221",22.0%,"5,451",31.5%,"1,007,923",35.8%,45.3%,"3,859,719,239",2488497484 ( 181.5% ),"456,409",297411 ( 187.1% ),"22,470,334,543","2,691,201",1
3/26/2017,"1,256",22.8%,"5,410",32.1%,"996,235",36.3%,41.5%,"3,471,299,150",-388420089 ( -10.1% ),"413,463",-42946 ( -9.4% ),"25,941,633,693","3,104,664",1
3/27/2017,961,19.9%,"4,373",28.1%,"823,571",32.2%,9.9%,"628,933,400",-2842365750 ( -81.9% ),"81,433",-332030 ( -80.3% ),"26,570,567,093","3,186,097",2
3/28/2017,974,19.5%,"4,327",27.8%,"817,736",32.0%,9.0%,"570,227,800",-58705600 ( -9.3% ),"73,783",-7650 ( -9.4% ),"27,140,794,893","3,259,880",2
3/29/2017,758,14.6%,"2,900",17.8%,"511,308",19.1%,24.0%,"699,627,100",129399300 ( 22.7% ),"122,513",48730 ( 66.0% ),"27,840,421,993","3,382,393",2
3/30/2017,740,14.5%,"2,953",18.2%,"510,861",19.2%,12.3%,"476,170,800",-223456300 ( -31.9% ),"62,955",-59558 ( -48.6% ),"28,316,592,793","3,445,348",2
3/31/2017,811,15.6%,"3,237",19.4%,"560,429",20.5%,18.9%,"879,491,663",403320863 ( 84.7% ),"106,055",43100 ( 68.5% ),"29,196,084,456","3,551,403",2
4/1/2017,"1,105",19.2%,"4,370",25.1%,"759,718",26.7%,40.3%,"2,553,235,820",1673744157 ( 190.3% ),"306,314",200259 ( 188.8% ),"31,749,320,276","3,857,717",1
4/2/2017,"1,123",20.3%,"4,362",25.8%,"760,456",27.4%,31.5%,"1,989,683,400",-563552420 ( -22.1% ),"239,654",-66660 ( -21.8% ),"33,739,003,676","4,097,371",1
