'토르: 라그나로크' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/25/2017,"1,601",29.7%,"7,965",47.9%,"1,533,329",56.7%,27.1%,"2,590,457,400",2570803400 ( 13080.3% ),"415,741",413994 ( 23697.4% ),"2,619,547,400","418,252",1
10/26/2017,"1,513",28.4%,"7,766",46.8%,"1,497,729",55.3%,14.5%,"1,698,643,400",-891814000 ( -34.4% ),"217,223",-198518 ( -47.8% ),"4,318,190,800","635,475",1
10/27/2017,"1,554",28.7%,"8,058",47.0%,"1,548,941",55.7%,20.4%,"2,696,624,817",997981417 ( 58.8% ),"316,499",99276 ( 45.7% ),"7,014,815,617","951,974",1
10/28/2017,"1,640",28.9%,"8,765",48.6%,"1,661,128",57.2%,39.9%,"5,619,909,407",2923284590 ( 108.4% ),"662,646",346147 ( 109.4% ),"12,634,725,024","1,614,620",1
10/29/2017,"1,597",28.5%,"8,534",48.3%,"1,626,051",57.0%,36.9%,"5,058,404,450",-561504957 ( -10.0% ),"599,966",-62680 ( -9.5% ),"17,693,129,474","2,214,586",1
10/30/2017,"1,448",28.7%,"7,587",46.5%,"1,468,130",55.2%,10.4%,"1,189,500,500",-3868903950 ( -76.5% ),"152,634",-447332 ( -74.6% ),"18,882,629,974","2,367,220",1
10/31/2017,"1,456",28.2%,"7,500",46.0%,"1,453,001",54.8%,9.7%,"1,080,148,250",-109352250 ( -9.2% ),"140,706",-11928 ( -7.8% ),"19,962,778,224","2,507,926",1
11/1/2017,"1,431",28.1%,"7,315",45.0%,"1,415,578",53.6%,9.2%,"997,923,900",-82224350 ( -7.6% ),"129,636",-11070 ( -7.9% ),"20,960,702,124","2,637,562",1
11/2/2017,"1,000",18.9%,"4,818",28.3%,"973,871",35.2%,10.2%,"783,942,000",-213981900 ( -21.4% ),"99,572",-30064 ( -23.2% ),"21,744,644,124","2,737,134",2
11/3/2017,"1,017",18.8%,"4,965",28.4%,"1,002,907",35.3%,16.2%,"1,395,246,040",611304040 ( 78.0% ),"162,641",63069 ( 63.3% ),"23,139,890,164","2,899,775",1
11/4/2017,"1,047",17.9%,"5,189",28.0%,"1,015,145",33.9%,36.0%,"3,127,486,767",1732240727 ( 124.2% ),"365,000",202359 ( 124.4% ),"26,267,376,931","3,264,775",1
11/5/2017,"1,039",18.0%,"5,078",28.0%,"993,601",33.9%,30.8%,"2,601,163,600",-526323167 ( -16.8% ),"306,265",-58735 ( -16.1% ),"28,868,540,531","3,571,040",1
11/6/2017,943,18.9%,"4,573",27.6%,"915,914",33.9%,7.8%,"563,989,300",-2037174300 ( -78.3% ),"71,307",-234958 ( -76.7% ),"29,432,529,831","3,642,347",1
11/7/2017,962,18.6%,"4,511",27.3%,"900,163",33.4%,6.9%,"482,385,000",-81604300 ( -14.5% ),"62,157",-9150 ( -12.8% ),"29,914,914,831","3,704,504",2
11/8/2017,841,16.4%,"3,854",22.8%,"790,072",28.6%,7.8%,"475,687,700",-6697300 ( -1.4% ),"61,380",-777 ( -1.3% ),"30,390,602,531","3,765,884",2
11/9/2017,708,12.1%,"2,909",16.3%,"602,732",20.7%,8.5%,"395,017,600",-80670100 ( -17.0% ),"51,340",-10040 ( -16.4% ),"30,785,620,131","3,817,224",1
11/10/2017,740,12.2%,"3,116",16.9%,"639,832",21.3%,12.4%,"673,951,200",278933600 ( 70.6% ),"79,054",27714 ( 54.0% ),"31,459,571,331","3,896,278",1
11/11/2017,856,13.0%,"3,621",18.3%,"725,706",22.8%,29.5%,"1,813,556,000",1139604800 ( 169.1% ),"213,813",134759 ( 170.5% ),"33,273,127,331","4,110,091",1
11/12/2017,832,12.6%,"3,517",18.2%,"704,438",22.6%,24.5%,"1,457,937,500",-355618500 ( -19.6% ),"172,871",-40942 ( -19.1% ),"34,731,064,831","4,282,962",1
11/13/2017,733,12.6%,"3,052",17.6%,"627,197",22.1%,6.6%,"315,686,400",-1142251100 ( -78.3% ),"41,186",-131685 ( -76.2% ),"35,046,751,231","4,324,148",2
11/14/2017,746,12.5%,"2,997",17.5%,"615,608",22.0%,6.0%,"283,685,600",-32000800 ( -10.1% ),"36,953",-4233 ( -10.3% ),"35,330,436,831","4,361,101",2
11/15/2017,764,11.3%,"2,000",11.6%,"352,927",12.7%,8.8%,"233,062,700",-50622900 ( -17.8% ),"31,204",-5749 ( -15.6% ),"35,563,499,531","4,392,305",4
11/16/2017,494,8.5%,"1,424",7.9%,"209,594",7.2%,15.2%,"232,576,400",-486300 ( -0.2% ),"31,835",631 ( 2.0% ),"35,796,075,931","4,424,140",4
11/17/2017,494,8.2%,"1,435",7.9%,"209,305",7.1%,14.5%,"249,895,558",17319158 ( 7.4% ),"30,287",-1548 ( -4.9% ),"36,045,971,489","4,454,427",4
11/18/2017,563,9.1%,"1,624",8.5%,"235,225",7.6%,30.8%,"603,290,656",353395098 ( 141.4% ),"72,424",42137 ( 139.1% ),"36,649,262,145","4,526,851",3
11/19/2017,574,9.4%,"1,632",8.8%,"237,781",7.9%,27.6%,"546,615,100",-56675556 ( -9.4% ),"65,541",-6883 ( -9.5% ),"37,195,877,245","4,592,392",3
