'택시운전사' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/2/2017,"1,446",27.5%,"7,068",38.4%,"1,302,719",43.8%,53.6%,"5,116,354,700",5116354700 ( 100.0% ),"698,088",698088 ( 100.0% ),"5,687,344,800","784,801",1
8/3/2017,"1,553",28.0%,"7,293",39.4%,"1,342,682",44.9%,48.5%,"4,825,521,000",-290833700 ( -5.7% ),"651,779",-46309 ( -6.6% ),"10,512,865,800","1,436,580",1
8/4/2017,"1,677",30.3%,"7,850",42.1%,"1,434,878",47.7%,49.3%,"5,809,978,335",984457335 ( 20.4% ),"707,113",55334 ( 8.5% ),"16,322,844,135","2,143,693",1
8/5/2017,"1,827",32.3%,"8,699",46.0%,"1,580,351",51.7%,71.1%,"9,280,365,401",3470387066 ( 59.7% ),"1,123,443",416330 ( 58.9% ),"25,603,209,536","3,267,136",1
8/6/2017,"1,906",33.9%,"8,929",48.1%,"1,615,851",53.9%,67.7%,"9,039,743,900",-240621501 ( -2.6% ),"1,093,911",-29532 ( -2.6% ),"34,642,953,436","4,361,047",1
8/7/2017,"1,745",33.5%,"8,569",47.9%,"1,570,945",54.3%,35.8%,"4,175,562,100",-4864181800 ( -53.8% ),"562,755",-531156 ( -48.6% ),"38,818,515,536","4,923,802",1
8/8/2017,"1,753",33.3%,"8,632",48.2%,"1,581,974",54.6%,30.6%,"3,571,801,800",-603760300 ( -14.5% ),"484,078",-78677 ( -14.0% ),"42,390,317,336","5,407,880",1
8/9/2017,"1,446",25.7%,"6,654",35.9%,"1,231,227",40.9%,32.9%,"2,979,664,700",-592137100 ( -16.6% ),"404,935",-79143 ( -16.3% ),"45,369,982,036","5,812,815",1
8/10/2017,"1,353",23.8%,"6,303",33.5%,"1,179,466",38.7%,30.1%,"2,625,161,400",-354503300 ( -11.9% ),"355,182",-49753 ( -12.3% ),"47,995,143,436","6,167,997",1
8/11/2017,"1,356",23.4%,"6,436",33.8%,"1,212,226",39.3%,31.5%,"3,152,911,028",527749628 ( 20.1% ),"382,042",26860 ( 7.6% ),"51,148,054,464","6,550,039",1
8/12/2017,"1,410",23.1%,"6,659",34.1%,"1,261,070",40.0%,56.1%,"5,884,901,932",2731990904 ( 86.6% ),"706,852",324810 ( 85.0% ),"57,032,956,396","7,256,891",1
8/13/2017,"1,385",22.9%,"6,478",33.6%,"1,230,078",39.5%,55.4%,"5,663,326,600",-221575332 ( -3.8% ),"680,919",-25933 ( -3.7% ),"62,696,282,996","7,937,810",1
8/14/2017,"1,291",22.5%,"6,259",32.6%,"1,192,556",38.4%,42.7%,"3,778,942,050",-1884384550 ( -33.3% ),"508,734",-172185 ( -25.3% ),"66,475,225,046","8,446,544",1
8/15/2017,"1,040",18.2%,"4,635",24.6%,"838,648",27.6%,68.8%,"4,705,320,750",926378700 ( 24.5% ),"577,296",68562 ( 13.5% ),"71,180,545,796","9,023,840",1
8/16/2017,986,18.3%,"4,471",24.8%,"791,214",27.2%,25.9%,"1,494,801,400",-3210519350 ( -68.2% ),"204,856",-372440 ( -64.5% ),"72,675,347,196","9,228,696",1
8/17/2017,934,16.6%,"3,914",21.1%,"705,767",23.7%,24.7%,"1,278,614,700",-216186700 ( -14.5% ),"174,377",-30479 ( -14.9% ),"73,953,961,896","9,403,073",1
8/18/2017,956,16.7%,"4,071",21.8%,"732,787",24.4%,25.7%,"1,541,913,303",263298603 ( 20.6% ),"188,683",14306 ( 8.2% ),"75,495,875,199","9,591,756",1
8/19/2017,"1,033",17.2%,"4,405",22.9%,"812,831",26.2%,45.7%,"3,081,226,450",1539313147 ( 99.8% ),"371,597",182914 ( 96.9% ),"78,577,101,649","9,963,353",1
8/20/2017,"1,022",17.2%,"4,311",22.8%,"794,279",26.1%,49.1%,"3,233,184,800",151958350 ( 4.9% ),"389,631",18034 ( 4.9% ),"81,810,286,449","10,352,984",1
8/21/2017,933,17.5%,"4,049",22.8%,"735,905",25.6%,20.4%,"1,101,831,000",-2131353800 ( -65.9% ),"149,816",-239815 ( -61.5% ),"82,912,117,449","10,502,800",1
8/22/2017,954,17.2%,"4,020",22.7%,"723,951",25.3%,18.3%,"964,359,600",-137471400 ( -12.5% ),"132,430",-17386 ( -11.6% ),"83,876,477,049","10,635,230",1
8/23/2017,833,14.4%,"2,975",17.4%,"518,526",18.7%,20.3%,"765,510,500",-198849100 ( -20.6% ),"105,168",-27262 ( -20.6% ),"84,641,987,549","10,740,398",2
8/24/2017,802,12.8%,"3,039",16.8%,"535,576",18.4%,18.8%,"733,076,500",-32434000 ( -4.2% ),"100,785",-4383 ( -4.2% ),"85,375,064,049","10,841,183",2
8/25/2017,831,13.2%,"3,141",17.1%,"556,675",18.8%,19.8%,"892,566,300",159489800 ( 21.8% ),"110,401",9616 ( 9.5% ),"86,267,630,349","10,951,584",2
8/26/2017,861,12.7%,"3,375",17.6%,"596,784",19.4%,36.6%,"1,809,785,500",917219200 ( 102.8% ),"218,682",108281 ( 98.1% ),"88,077,415,849","11,170,266",2
8/27/2017,861,12.9%,"3,326",17.8%,"592,404",19.6%,33.5%,"1,639,910,700",-169874800 ( -9.4% ),"198,166",-20516 ( -9.4% ),"89,717,326,549","11,368,432",2
8/28/2017,827,14.1%,"3,150",18.1%,"552,568",19.6%,11.8%,"474,055,200",-1165855500 ( -71.1% ),"65,223",-132943 ( -67.1% ),"90,191,381,749","11,433,655",2
8/29/2017,863,14.5%,"3,171",18.3%,"551,459",19.6%,11.7%,"459,346,200",-14709000 ( -3.1% ),"64,626",-597 ( -0.9% ),"90,650,727,949","11,498,281",2
8/30/2017,630,10.9%,"2,130",12.3%,"375,261",13.3%,21.2%,"457,704,500",-1641700 ( -0.4% ),"79,377",14751 ( 22.8% ),"91,108,432,449","11,577,658",3
8/31/2017,615,10.9%,"2,131",12.4%,"369,106",13.2%,12.8%,"335,370,500",-122334000 ( -26.7% ),"47,308",-32069 ( -40.4% ),"91,443,802,949","11,624,966",2
9/1/2017,625,10.9%,"2,219",12.6%,"380,441",13.3%,12.8%,"393,791,700",58421200 ( 17.4% ),"48,618",1310 ( 2.8% ),"91,837,594,649","11,673,584",3
9/2/2017,683,10.7%,"2,475",13.3%,"434,720",14.4%,22.7%,"827,171,300",433379600 ( 110.1% ),"98,741",50123 ( 103.1% ),"92,664,765,949","11,772,325",4
9/3/2017,671,10.6%,"2,397",13.2%,"422,884",14.4%,21.4%,"759,307,500",-67863800 ( -8.2% ),"90,659",-8082 ( -8.2% ),"93,424,073,449","11,862,984",4
9/4/2017,646,11.9%,"2,247",13.7%,"381,451",14.2%,7.7%,"212,759,100",-546548400 ( -72.0% ),"29,312",-61347 ( -67.7% ),"93,636,832,549","11,892,296",3
9/5/2017,638,11.4%,"2,212",13.5%,"376,462",14.1%,7.2%,"195,529,500",-17229600 ( -8.1% ),"27,143",-2169 ( -7.4% ),"93,832,362,049","11,919,439",3
9/6/2017,514,9.6%,"1,501",9.0%,"199,617",7.3%,11.1%,"156,805,700",-38723800 ( -19.8% ),"22,063",-5080 ( -18.7% ),"93,989,167,749","11,941,502",4
9/7/2017,498,8.4%,"1,380",8.2%,"182,096",6.6%,10.8%,"139,546,500",-17259200 ( -11.0% ),"19,589",-2474 ( -11.2% ),"94,128,714,249","11,961,091",4
9/8/2017,511,8.5%,"1,378",8.0%,"181,303",6.4%,11.5%,"165,784,100",26237600 ( 18.8% ),"20,760",1171 ( 6.0% ),"94,294,498,349","11,981,851",4
9/9/2017,501,7.8%,"1,292",7.0%,"171,371",5.7%,24.2%,"306,198,900",140414800 ( 84.7% ),"41,541",20781 ( 100.1% ),"94,600,697,249","12,023,392",5
9/10/2017,492,7.8%,"1,262",7.0%,"166,486",5.7%,26.8%,"368,553,200",62354300 ( 20.4% ),"44,627",3086 ( 7.4% ),"94,969,250,449","12,068,019",4
9/11/2017,513,9.1%,"1,303",8.0%,"170,299",6.3%,10.2%,"125,126,500",-243426700 ( -66.0% ),"17,335",-27292 ( -61.2% ),"95,094,376,949","12,085,354",4
9/12/2017,507,8.9%,"1,271",7.9%,"167,132",6.3%,8.2%,"97,627,900",-27498600 ( -22.0% ),"13,721",-3614 ( -20.8% ),"95,192,004,849","12,099,075",4
9/13/2017,502,8.2%,"1,185",7.3%,"159,304",6.0%,7.8%,"88,022,200",-9605700 ( -9.8% ),"12,475",-1246 ( -9.1% ),"95,280,027,049","12,111,550",5
9/14/2017,298,5.2%,502,2.9%,"59,428",2.1%,10.9%,"44,171,400",-43850800 ( -49.8% ),"6,474",-6001 ( -48.1% ),"95,324,198,449","12,118,024",6
9/15/2017,310,5.3%,531,3.0%,"63,797",2.2%,11.2%,"55,289,700",11118300 ( 25.2% ),"7,152",678 ( 10.5% ),"95,379,488,149","12,125,176",7
9/16/2017,321,5.0%,562,3.0%,"68,520",2.2%,19.6%,"110,920,500",55630800 ( 100.6% ),"13,398",6246 ( 87.3% ),"95,490,408,649","12,138,574",7
9/17/2017,319,5.0%,552,3.0%,"67,607",2.3%,20.9%,"116,872,000",5951500 ( 5.4% ),"14,102",704 ( 5.3% ),"95,607,280,649","12,152,676",7
9/18/2017,311,5.5%,550,3.3%,"67,170",2.5%,7.4%,"35,462,100",-81409900 ( -69.7% ),"4,939",-9163 ( -65.0% ),"95,642,742,749","12,157,615",6
9/19/2017,320,5.6%,536,3.3%,"65,473",2.4%,7.4%,"33,766,700",-1695400 ( -4.8% ),"4,847",-92 ( -1.9% ),"95,676,509,449","12,162,462",9
9/20/2017,305,5.4%,532,3.3%,"64,221",2.4%,6.5%,"29,831,600",-3935100 ( -11.7% ),"4,197",-650 ( -13.4% ),"95,706,341,049","12,166,659",9
9/21/2017,124,2.3%,186,1.1%,"23,413",0.9%,7.9%,"12,504,500",-17327100 ( -58.1% ),"1,853",-2344 ( -55.8% ),"95,718,845,549","12,168,512",14
9/22/2017,128,2.3%,187,1.1%,"23,776",0.9%,7.6%,"14,179,400",1674900 ( 13.4% ),"1,809",-44 ( -2.4% ),"95,733,024,949","12,170,321",11
9/23/2017,133,2.2%,194,1.1%,"24,663",0.8%,12.5%,"25,292,200",11112800 ( 78.4% ),"3,079",1270 ( 70.2% ),"95,758,317,149","12,173,400",13
9/24/2017,128,2.1%,183,1.0%,"23,132",0.8%,14.5%,"28,031,000",2738800 ( 10.8% ),"3,353",274 ( 8.9% ),"95,786,348,149","12,176,753",12
9/25/2017,132,2.5%,199,1.3%,"24,366",0.9%,5.1%,"8,808,500",-19222500 ( -68.6% ),"1,248",-2105 ( -62.8% ),"95,795,156,649","12,178,001",13
9/26/2017,127,2.3%,186,1.2%,"23,560",0.9%,5.8%,"9,401,400",592900 ( 6.7% ),"1,362",114 ( 9.1% ),"95,804,558,049","12,179,363",15
9/27/2017,40,0.7%,49,0.3%,"6,076",0.2%,13.3%,"4,328,500",-5072900 ( -54.0% ),808,-554 ( -40.7% ),"95,808,886,549","12,180,171",15
9/28/2017,25,0.5%,36,0.2%,"4,229",0.2%,9.0%,"2,565,400",-1763100 ( -40.7% ),380,-428 ( -53.0% ),"95,811,451,949","12,180,551",26
9/29/2017,26,0.5%,41,0.2%,"4,971",0.2%,5.5%,"2,197,000",-368400 ( -14.4% ),272,-108 ( -28.4% ),"95,813,648,949","12,180,823",29
9/30/2017,23,0.4%,34,0.2%,"3,804",0.1%,13.9%,"4,209,700",2012700 ( 91.6% ),527,255 ( 93.8% ),"95,817,858,649","12,181,350",25
10/1/2017,27,0.5%,38,0.2%,"4,282",0.1%,19.1%,"6,257,000",2047300 ( 48.6% ),817,290 ( 55.0% ),"95,824,115,649","12,182,167",19
10/2/2017,35,0.6%,49,0.3%,"5,772",0.2%,17.2%,"7,099,000",842000 ( 13.5% ),995,178 ( 21.8% ),"95,831,214,649","12,183,162",18
10/3/2017,19,0.3%,22,0.1%,"2,089",0.1%,19.2%,"3,389,500",-3709500 ( -52.3% ),401,-594 ( -59.7% ),"95,834,604,149","12,183,563",23
10/4/2017,16,0.3%,22,0.1%,"2,061",0.1%,21.4%,"3,513,600",124100 ( 3.7% ),442,41 ( 10.2% ),"95,838,117,749","12,184,005",21
10/5/2017,15,0.2%,20,0.1%,"1,755",0.1%,27.3%,"3,775,100",261500 ( 7.4% ),479,37 ( 8.4% ),"95,841,892,849","12,184,484",23
10/6/2017,12,0.2%,17,0.1%,"1,365",0.0%,22.9%,"2,400,500",-1374600 ( -36.4% ),313,-166 ( -34.7% ),"95,844,293,349","12,184,797",30
10/7/2017,12,0.2%,16,0.1%,"1,346",0.0%,18.1%,"1,712,300",-688200 ( -28.7% ),244,-69 ( -22.0% ),"95,846,005,649","12,185,041",35
